id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
2101,0.9429971097,female,17.0,w. sou. central,43.0,,64.0,61.0,,84.2,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree
2102,0.9429971097,male,15.0,w. sou. central,48.0,98140.0,60.0,,66.0,76.3,very satisfied,,,,,
2103,0.9429971097,male,12.0,w. sou. central,27.0,47317.5,35.0,38.0,75.0,34.1,very satisfied,,,,,
2104,0.4714985548,female,12.0,w. sou. central,59.0,31545.0,47.0,35.0,32.0,38.8,,,,,,
2105,0.9429971097,male,13.0,w. sou. central,46.0,84120.0,56.0,47.0,49.0,53.6,very satisfied,strongly agree,disagree,disagree,disagree,agree
2106,0.9429971097,male,14.0,w. sou. central,51.0,38555.0,48.0,36.0,60.0,39.1,mod. satisfied,agree,,agree,disagree,neither agree nor disagree
2107,2.35896796,male,16.0,w. sou. central,63.0,47317.5,75.0,,35.0,89.3,mod. satisfied,,,,,
2108,1.885994219,female,12.0,w. sou. central,76.0,112160.0,48.0,22.0,30.0,24.2,,disagree,agree,agree,agree,agree
2109,0.9429971097,female,16.0,w. sou. central,56.0,158201.8412,39.0,64.0,68.0,67.7,very satisfied,,,,,
2110,2.35896796,male,13.0,w. sou. central,39.0,38555.0,32.0,25.0,49.0,31.9,very satisfied,agree,agree,disagree,agree,disagree
2111,0.4714985548,female,14.0,w. sou. central,34.0,9638.75,48.0,31.0,30.0,26.1,very satisfied,,,,,
2112,1.885994219,female,12.0,w. sou. central,36.0,9638.75,33.0,33.0,24.0,13.6,very satisfied,agree,disagree,disagree,strongly agree,agree
2113,0.4714985548,female,12.0,w. sou. central,51.0,9638.75,28.0,25.0,,21.6,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,neither agree nor disagree
2114,0.4714985548,male,20.0,w. sou. central,62.0,16648.75,35.0,38.0,45.0,32.0,,,,,,
2115,0.4714985548,female,14.0,w. sou. central,75.0,38555.0,48.0,,45.0,26.1,very satisfied,agree,strongly agree,agree,disagree,disagree
2116,0.9429971097,male,12.0,w. sou. central,68.0,9638.75,35.0,43.0,26.0,32.0,,disagree,strongly agree,agree,agree,agree
2117,1.17948398,female,10.0,w. sou. central,79.0,9638.75,31.0,31.0,45.0,39.7,,disagree,agree,agree,agree,disagree
2118,0.9429971097,female,14.0,w. sou. central,66.0,,53.0,32.0,49.0,69.3,,strongly agree,agree,agree,disagree,agree
2119,1.414495664,female,10.0,w. sou. central,20.0,7886.25,,48.0,,,very satisfied,,,,,
2120,0.9429971097,female,12.0,w. sou. central,74.0,57832.5,46.0,33.0,46.0,52.0,,disagree,agree,agree,disagree,agree
